industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
N33699_	33699	Other transportation equipment manufacturing	4	T	295
N3369__	3369	Other transportation equipment manufacturing	3	T	294
N336___	336	Transportation equipment manufacturing	2	T	265
N337110	337110	Wood kitchen cabinet and countertop manufacturing	5	T	299
N33711_	33711	Wood kitchen cabinet and countertop manufacturing	4	T	298
N337121	337121	Upholstered household furniture manufacturing	5	T	300
N337122	337122	Nonupholstered wood household furniture manufacturing	5	T	301
N33712_	33712	Household and institutional furniture manufacturing	4	T	302
N3371__	3371	Household and institutional furniture and kitchen cabinet manufacturing	3	T	297
N33721_	33721	Office furniture (including fixtures) manufacturing	4	T	304
N3372__	3372	Office furniture (including fixtures) manufacturing	3	T	303
N3379__	3379	Other furniture related product manufacturing	3	T	305
N337___	337	Furniture and related product manufacturing	2	T	296
N339113	339113	Surgical appliance and supplies manufacturing	5	T	309
N339116	339116	Dental laboratories	5	T	310
N33911_	33911	Medical equipment and supplies manufacturing	4	T	308
N3391__	3391	Medical equipment and supplies manufacturing	3	T	307
N339950	339950	Sign manufacturing	5	T	313
N33995_	33995	Sign manufacturing	4	T	312
N3399__	3399	Other miscellaneous manufacturing	3	T	311
N339___	339	Miscellaneous manufacturing	2	T	306
N4231__	4231	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	3	T	317
N4232__	4232	Furniture and home furnishing merchant wholesalers	3	T	318
N4233__	4233	Lumber and other construction materials merchant wholesalers	3	T	319
N4234__	4234	Professional and commercial equipment and supplies merchant wholesalers	3	T	320
N4235__	4235	Metal and mineral (except petroleum) merchant wholesalers	3	T	321
N4236__	4236	Electrical and electronic goods merchant wholesalers	3	T	322
N4237__	4237	Hardware, and plumbing and heating equipment and supplies merchant wholesalers	3	T	323
N4238__	4238	Machinery, equipment, and supplies merchant wholesalers	3	T	324
N4239__	4239	Miscellaneous durable goods merchant wholesalers	3	T	325
N423___	423	Merchant wholesalers, durable goods	2	T	316
N4241__	4241	Paper and paper product merchant wholesalers	3	T	327
N424210	424210	Drugs and druggists' sundries merchant wholesalers	5	T	330
N42421_	42421	Drugs and druggists' sundries merchant wholesalers	4	T	329
N4242__	4242	Drugs and druggists' sundries merchant wholesalers	3	T	328
N4243__	4243	Apparel, piece goods, and notions merchant wholesalers	3	T	331
N4244__	4244	Grocery and related product wholesalers	3	T	332
N4245__	4245	Farm product raw material merchant wholesalers	3	T	333
N4246__	4246	Chemical and allied products merchant wholesalers	3	T	334
N4247__	4247	Petroleum and petroleum products merchant wholesalers	3	T	335
N4248__	4248	Beer, wine, and distilled alcoholic beverage merchant wholesalers	3	T	336
N4249__	4249	Miscellaneous nondurable goods merchant wholesalers	3	T	337
N424___	424	Merchant wholesalers, nondurable goods	2	T	326
N4251__	4251	Wholesale electronic markets and agents and brokers	3	T	339
N425___	425	Wholesale electronic markets and agents and brokers	2	T	338
N42____	42	Wholesale trade	1	T	315
N441110	441110	New car dealers	5	T	345
N44111_	44111	New car dealers	4	T	344
N441120	441120	Used car dealers	5	T	347
N44112_	44112	Used car dealers	4	T	346
N4411__	4411	Automobile dealers	3	T	343
N4412__	4412	Other motor vehicle dealers	3	T	348
N441310	441310	Automotive parts and accessories stores	5	T	351
N44131_	44131	Automotive parts and accessories stores	4	T	350
N441320	441320	Tire dealers	5	T	353
N44132_	44132	Tire dealers	4	T	352
N4413__	4413	Automotive parts, accessories, and tire stores	3	T	349
N441___	441	Motor vehicle and parts dealers	2	T	342
N442110	442110	Furniture stores	5	T	357
N44211_	44211	Furniture stores	4	T	356
N4421__	4421	Furniture stores	3	T	355
N442210	442210	Floor covering stores	5	T	360
N44221_	44221	Floor covering stores	4	T	359
N44229_	44229	Other home furnishings stores	4	T	361
N4422__	4422	Home furnishings stores	3	T	358
N442___	442	Furniture and home furnishings stores	2	T	354
N443141	443141	Household appliance stores	5	T	365
N443142	443142	Electronics stores	5	T	366
N44314_	44314	Electronics and appliance stores	4	T	364
N4431__	4431	Electronics and appliance stores	3	T	363
N443___	443	Electronics and appliance stores	2	T	362
N444110	444110	Home centers	5	T	370
N44411_	44411	Home centers	4	T	369
N444130	444130	Hardware stores	5	T	372
N44413_	44413	Hardware stores	4	T	371
N4441__	4441	Building material and supplies dealers	3	T	368
N444210	444210	Outdoor power equipment stores	5	T	375
N44421_	44421	Outdoor power equipment stores	4	T	374
N444220	444220	Nursery, garden center, and farm supply stores	5	T	377
N44422_	44422	Nursery, garden center, and farm supply stores	4	T	376
N4442__	4442	Lawn and garden equipment and supplies stores	3	T	373
N444___	444	Building material and garden equipment and supplies dealers	2	T	367
N445110	445110	Supermarkets and other grocery (except convenience) stores	5	T	381
N44511_	44511	Supermarkets and other grocery (except convenience) stores	4	T	380
N445120	445120	Convenience stores	5	T	383
N44512_	44512	Convenience stores	4	T	382
N4451__	4451	Grocery stores	3	T	379
N4452__	4452	Specialty food stores	3	T	384
N445310	445310	Beer, wine, and liquor stores	5	T	387
N44531_	44531	Beer, wine, and liquor stores	4	T	386
N4453__	4453	Beer, wine, and liquor stores	3	T	385
N445___	445	Food and beverage stores	2	T	378
N446110	446110	Pharmacies and drug stores	5	T	391
N44611_	44611	Pharmacies and drug stores	4	T	390
N446120	446120	Cosmetics, beauty supplies, and perfume stores	5	T	393
N44612_	44612	Cosmetics, beauty supplies, and perfume stores	4	T	392
N446130	446130	Optical goods stores	5	T	395
N44613_	44613	Optical goods stores	4	T	394
N44619_	44619	Other health and personal care stores	4	T	396
N4461__	4461	Health and personal care stores	3	T	389
N446___	446	Health and personal care stores	2	T	388
N447110	447110	Gasoline stations with convenience stores	5	T	400
N44711_	44711	Gasoline stations with convenience stores	4	T	399
N447190	447190	Other gasoline stations	5	T	402
N44719_	44719	Other gasoline stations	4	T	401
N4471__	4471	Gasoline stations	3	T	398
N447___	447	Gasoline stations	2	T	397
N448110	448110	Men's clothing stores	5	T	406
N44811_	44811	Men's clothing stores	4	T	405
N448120	448120	Women's clothing stores	5	T	408
N44812_	44812	Women's clothing stores	4	T	407
N448140	448140	Family clothing stores	5	T	410
N44814_	44814	Family clothing stores	4	T	409
N448150	448150	Clothing accessories stores	5	T	412
N44815_	44815	Clothing accessories stores	4	T	411
N4481__	4481	Clothing stores	3	T	404
N448210	448210	Shoe stores	5	T	415
N44821_	44821	Shoe stores	4	T	414
N4482__	4482	Shoe stores	3	T	413
N4483__	4483	Jewelry, luggage, and leather goods stores	3	T	416
N448___	448	Clothing and clothing accessories stores	2	T	403
N44_45_	44,45	Retail trade	1	T	341
N451110	451110	Sporting goods stores	5	T	420
N45111_	45111	Sporting goods stores	4	T	419
N451120	451120	Hobby, toy, and game stores	5	T	422
N45112_	45112	Hobby, toy, and game stores	4	T	421
N4511__	4511	Sporting goods, hobby, and musical instrument stores	3	T	418
N45121_	45121	Book stores and news dealers	4	T	424
N4512__	4512	Book stores and news dealers	3	T	423
N451___	451	Sporting goods, hobby, book, and music stores	2	T	417
N452210	452210	Department stores	5	T	428
N45221_	45221	Department stores	4	T	427
N4522__	4522	Department stores	3	T	426
N45231_	45231	General merchandise stores, including warehouse clubs and supercenters	4	T	430
N4523__	4523	General merchandise stores, including warehouse clubs and supercenters	3	T	429
N452___	452	General merchandise stores	2	T	425
N453110	453110	Florists	5	T	434
N45311_	45311	Florists	4	T	433
N4531__	4531	Florists	3	T	432
N453210	453210	Office supplies and stationery stores	5	T	437
N45321_	45321	Office supplies and stationery stores	4	T	436
N453220	453220	Gift, novelty, and souvenir stores	5	T	439
N45322_	45322	Gift, novelty, and souvenir stores	4	T	438
N4532__	4532	Office supplies, stationery, and gift stores	3	T	435
N453310	453310	Used merchandise stores	5	T	442
N45331_	45331	Used merchandise stores	4	T	441
N4533__	4533	Used merchandise stores	3	T	440
N453910	453910	Pet and pet supplies stores	5	T	445
N45391_	45391	Pet and pet supplies stores	4	T	444
N4539__	4539	Other miscellaneous store retailers	3	T	443
N453___	453	Miscellaneous store retailers	2	T	431
N45411_	45411	Electronic shopping and mail-order houses	4	T	448
N4541__	4541	Electronic shopping and mail-order houses	3	T	447
N454210	454210	Vending machine operators	5	T	451
N45421_	45421	Vending machine operators	4	T	450
N4542__	4542	Vending machine operators	3	T	449
N454310	454310	Fuel dealers	5	T	454
N45431_	45431	Fuel dealers	4	T	453
N454390	454390	Other direct selling establishments	5	T	456
N45439_	45439	Other direct selling establishments	4	T	455
N4543__	4543	Direct selling establishments	3	T	452
N454___	454	Nonstore retailers	2	T	446
N48111_	48111	Scheduled air transportation	4	T	460
N4811__	4811	Scheduled air transportation	3	T	459
N48121_	48121	Nonscheduled air transportation	4	T	462
N4812__	4812	Nonscheduled air transportation	3	T	461
N481___	481	Air transportation	2	T	458
N482111	482111	Line-haul railroads	5	T	466
N48211_	48211	Rail transportation	4	T	465
N4821__	4821	Rail transportation	3	T	464
N482___	482	Rail transportation	2	T	463
N48311_	48311	Deep sea, coastal, and Great Lakes water transportation	4	T	469
N4831__	4831	Deep sea, coastal, and Great Lakes water transportation	3	T	468
N48321_	48321	Inland water transportation	4	T	471
N4832__	4832	Inland water transportation	3	T	470
N483___	483	Water transportation	2	T	467
N484110	484110	General freight trucking, local	5	T	475
N48411_	48411	General freight trucking, local	4	T	474
N48412_	48412	General freight trucking, long-distance	4	T	476
N4841__	4841	General freight trucking	3	T	473
N484210	484210	Used household and office goods moving	5	T	479
N48421_	48421	Used household and office goods moving	4	T	478
N484220	484220	Specialized freight (except used goods) trucking, local	5	T	481
N48422_	48422	Specialized freight (except used goods) trucking, local	4	T	480
N484230	484230	Specialized freight (except used goods) trucking, long-distance	5	T	483
N48423_	48423	Specialized freight (except used goods) trucking, long-distance	4	T	482
N4842__	4842	Specialized freight trucking	3	T	477
N484___	484	Truck transportation	2	T	472
N48511_	48511	Urban transit systems	4	T	486
N4851__	4851	Urban transit systems	3	T	485
N485210	485210	Interurban and rural bus transportation	5	T	489
N48521_	48521	Interurban and rural bus transportation	4	T	488
N4852__	4852	Interurban and rural bus transportation	3	T	487
N4853__	4853	Taxi and limousine service	3	T	490
N485410	485410	School and employee bus transportation	5	T	493
N48541_	48541	School and employee bus transportation	4	T	492
N4854__	4854	School and employee bus transportation	3	T	491
N485510	485510	Charter bus industry	5	T	496
N48551_	48551	Charter bus industry	4	T	495
N4855__	4855	Charter bus industry	3	T	494
N48599_	48599	Other transit and ground passenger transportation	4	T	498
N4859__	4859	Other transit and ground passenger transportation	3	T	497
N485___	485	Transit and ground passenger transportation	2	T	484
N486110	486110	Pipeline transportation of crude oil	5	T	502
N48611_	48611	Pipeline transportation of crude oil	4	T	501
N4861__	4861	Pipeline transportation of crude oil	3	T	500
N486210	486210	Pipeline transportation of natural gas	5	T	505
N48621_	48621	Pipeline transportation of natural gas	4	T	504
N4862__	4862	Pipeline transportation of natural gas	3	T	503
N4869__	4869	Other pipeline transportation	3	T	506
N486___	486	Pipeline transportation	2	T	499
N487110	487110	Scenic and sightseeing transportation, land	5	T	510
N48711_	48711	Scenic and sightseeing transportation, land	4	T	509
N4871__	4871	Scenic and sightseeing transportation, land	3	T	508
N487210	487210	Scenic and sightseeing transportation, water	5	T	513
N48721_	48721	Scenic and sightseeing transportation, water	4	T	512
N4872__	4872	Scenic and sightseeing transportation, water	3	T	511
N487990	487990	Scenic and sightseeing transportation, other	5	T	516
