industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
D11____	D11	Agriculture, forestry, fishing, and hunting	0	F	3
D21____	D21	Mining	0	F	46
D22____	D22	Utilities	0	F	61
D23____	D23	Construction	0	F	69
D31_33_	D31,32,33	Manufacturing	0	F	90
D42____	D42	Wholesale trade	0	F	314
D44_45_	D44,45	Retail trade	0	F	340
D48_49_	D48,49	Transportation and warehouseing	0	F	457
D512___	D512	Motion picture and sound recording industries	2	F	558
D517___	D517	Telecommunications	2	F	569
D51____	D51	Information	0	F	546
D52____	D52	Finance and insurance	0	F	586
D53____	D53	Real estate and rental and leasing	0	F	609
D54192_	D54192	Photographic Services	4	F	654
D54____	D54	Professional, scientific, and technical services	0	F	631
D55____	D55	Management of companies and enterprises	0	F	658
D5613__	D5613	Employment services	3	F	671
D5617__	D5617	Services to buildings and dwellings	3	F	679
D56____	D56	Administrative and support and waste management and remediation services	0	F	663
D61____	D61	Educational services	0	F	690
D62____	D62	Health care and social assistance	0	F	709
D71____	D71	Arts, entertainment, and recreation	0	F	756
D72____	D72	Accommodation and food services	0	F	782
D8122__	D8122	Death care services	3	F	816
D8129__	D8129	Other personal services	3	F	826
D81____	D81	Other services (except public administration)	0	F	802
D90____	D90	Government	0	F	845
D______	D-	Private Nonfarm	0	F	1
N1111__	1111	Oilseed and grain farming	3	T	5
N11121_	11121	Vegetable and melon farming	4	T	7
N1112__	1112	Vegetable and melon farming	3	T	6
N1113__	1113	Fruit and tree nut farming	3	T	8
N1114__	1114	Greenhouse, nursery, and floriculture production	3	T	9
N1119__	1119	Other crop farming	3	T	10
N111___	111	Crop production	2	T	4
N1121__	1121	Cattle ranching and farming	3	T	12
N112210	112210	Hog and pig farming	5	T	15
N11221_	11221	Hog and pig farming	4	T	14
N1122__	1122	Hog and pig farming	3	T	13
N1123__	1123	Poultry and egg production	3	T	16
N1124__	1124	Sheep and goat farming	3	T	17
N11251_	11251	Aquaculture	4	T	19
N1125__	1125	Aquaculture	3	T	18
N1129__	1129	Other animal production	3	T	20
N112___	112	Animal production	2	T	11
N113110	113110	Timber tract operations	5	T	24
N11311_	11311	Timber tract operations	4	T	23
N1131__	1131	Timber tract operations	3	T	22
N113210	113210	Forest nurseries and gathering of forest products	5	T	27
N11321_	11321	Forest nurseries and gathering of forest products	4	T	26
N1132__	1132	Forest nurseries and gathering of forest products	3	T	25
N113310	113310	Logging	5	T	30
N11331_	11331	Logging	4	T	29
N1133__	1133	Logging	3	T	28
N113___	113	Forestry and logging	2	T	21
N11411_	11411	Fishing	4	T	33
N1141__	1141	Fishing	3	T	32
N114210	114210	Hunting and trapping	5	T	36
N11421_	11421	Hunting and trapping	4	T	35
N1142__	1142	Hunting and trapping	3	T	34
N114___	114	Fishing, hunting and trapping	2	T	31
N11511_	11511	Support activities for crop production	4	T	39
N1151__	1151	Support activities for crop production	3	T	38
N115210	115210	Support activities for animal production	5	T	42
N11521_	11521	Support activities for animal production	4	T	41
N1152__	1152	Support activities for animal production	3	T	40
N115310	115310	Support activities for forestry	5	T	45
N11531_	11531	Support activities for forestry	4	T	44
N1153__	1153	Support activities for forestry	3	T	43
N115___	115	Support activities for agriculture and forestry	2	T	37
N2111__	2111	Oil and gas extraction	3	T	49
N211___	211	Oil and gas extraction	2	T	48
N21211_	21211	Coal mining	4	T	52
N2121__	2121	Coal mining	3	T	51
N2122__	2122	Metal ore mining	3	T	53
N21231_	21231	Stone Mining and Quarrying	4	T	55
N21232_	21232	Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying	4	T	56
N21239_	21239	Other Nonmetallic Mineral Mining and Quarrying	4	T	57
N2123__	2123	Nonmetallic mineral mining and quarrying	3	T	54
N212___	212	Mining (except oil and gas)	2	T	50
N21311_	21311	Support activities for mining	4	T	60
N2131__	2131	Support activities for mining	3	T	59
N213___	213	Support activities for mining	2	T	58
N21____	21	Mining	1	T	47
N2211__	2211	Electric power generation, transmission and distribution	3	T	64
N221210	221210	Natural gas distribution	5	T	67
N22121_	22121	Natural gas distribution	4	T	66
N2212__	2212	Natural gas distribution	3	T	65
N2213__	2213	Water, sewage and other systems	3	T	68
N221___	221	Utilities	2	T	63
N22____	22	Utilities	1	T	62
N23611_	23611	Residential building construction	4	T	72
N2361__	2361	Residential building construction	3	T	71
N2362__	2362	Nonresidential building construction	3	T	73
N236___	236	Construction of buildings	2	T	70
N2371__	2371	Utility system construction	3	T	75
N237210	237210	Land subdivision	5	T	78
N23721_	23721	Land subdivision	4	T	77
N2372__	2372	Land subdivision	3	T	76
N237310	237310	Highway, street, and bridge construction	5	T	81
N23731_	23731	Highway, street, and bridge construction	4	T	80
N2373__	2373	Highway, street, and bridge construction	3	T	79
N237990	237990	Other heavy and civil engineering construction	5	T	84
N23799_	23799	Other heavy and civil engineering construction	4	T	83
N2379__	2379	Other heavy and civil engineering construction	3	T	82
N237___	237	Heavy and civil engineering construction	2	T	74
N2381__	2381	Building foundation and exterior contractors	3	T	86
N2382__	2382	Building equipment contractors	3	T	87
N2383__	2383	Building finishing contractors	3	T	88
N2389__	2389	Other specialty trade contractors	3	T	89
N238___	238	Specialty trade contractors	2	T	85
N31111_	31111	Animal food manufacturing	4	T	93
N3111__	3111	Animal food manufacturing	3	T	92
N3112__	3112	Grain and oilseed milling	3	T	94
N3113__	3113	Sugar and confectionery product manufacturing	3	T	95
N31141_	31141	Frozen food manufacturing	4	T	97
N31142_	31142	Fruit and vegetable canning, pickling, and drying	4	T	98
N3114__	3114	Fruit and vegetable preserving and specialty food manufacturing	3	T	96
N3115__	3115	Dairy product manufacturing	3	T	99
N311611	311611	Animal (except poultry) slaughtering	5	T	102
N311615	311615	Poultry processing	5	T	103
N31161_	31161	Animal slaughtering and processing	4	T	101
N3116__	3116	Animal slaughtering and processing	3	T	100
N311710	311710	Seafood product preparation and packaging	5	T	106
N31171_	31171	Seafood product preparation and packaging	4	T	105
N3117__	3117	Seafood product preparation and packaging	3	T	104
N311811	311811	Retail bakeries	5	T	109
N31181_	31181	Bread and bakery product manufacturing	4	T	108
N3118__	3118	Bakeries and tortilla manufacturing	3	T	107
N3119__	3119	Other food manufacturing	3	T	110
N311___	311	Food manufacturing	2	T	91
N3121__	3121	Beverage manufacturing	3	T	112
N312230	312230	Tobacco manufacturing	5	T	115
N31223_	31223	Tobacco manufacturing	4	T	114
N3122__	3122	Tobacco manufacturing	3	T	113
N312___	312	Beverage and tobacco product manufacturing	2	T	111
N313110	313110	Fiber, yarn, and thread mills	5	T	119
N31311_	31311	Fiber, yarn, and thread mills	4	T	118
N3131__	3131	Fiber, yarn, and thread mills	3	T	117
N3132__	3132	Fabric mills	3	T	120
N3133__	3133	Textile and fabric finishing and fabric coating mills	3	T	121
N313___	313	Textile mills	2	T	116
N3141__	3141	Textile furnishings mills	3	T	123
N3149__	3149	Other textile product mills	3	T	124
N314___	314	Textile product mills	2	T	122
N3151__	3151	Apparel knitting mills	3	T	126
N3152__	3152	Cut and sew apparel manufacturing	3	T	127
N315990	315990	Apparel accessories and other apparel manufacturing	5	T	130
N31599_	31599	Apparel accessories and other apparel manufacturing	4	T	129
N3159__	3159	Apparel accessories and other apparel manufacturing	3	T	128
N315___	315	Apparel manufacturing	2	T	125
N316110	316110	Leather and hide tanning and finishing	5	T	134
N31611_	31611	Leather and hide tanning and finishing	4	T	133
N3161__	3161	Leather and hide tanning and finishing	3	T	132
N316210	316210	Footwear manufacturing	5	T	137
N31621_	31621	Footwear manufacturing	4	T	136
N3162__	3162	Footwear manufacturing	3	T	135
N31699_	31699	Other leather and allied product manufacturing	4	T	139
N3169__	3169	Other leather and allied product manufacturing	3	T	138
N316___	316	Leather and allied product manufacturing	2	T	131
N32111_	32111	Sawmills and wood preservation	4	T	142
N3211__	3211	Sawmills and wood preservation	3	T	141
N32121_	32121	Veneer, plywood, and engineered wood product manufacturing	4	T	144
N3212__	3212	Veneer, plywood, and engineered wood product manufacturing	3	T	143
N321911	321911	Wood windows and doors	5	T	147
N32191_	32191	Millwork	4	T	146
N321920	321920	Wood container and pallet manufacturing	5	T	149
N32192_	32192	Wood container and pallet manufacturing	4	T	148
N32199_	32199	All other wood product manufacturing	4	T	150
N3219__	3219	Other wood product manufacturing	3	T	145
N321___	321	Wood product manufacturing	2	T	140
N3221__	3221	Pulp, paper, and paperboard mills	3	T	152
N322211	322211	Corrugated and solid fiber boxes	5	T	155
N32221_	32221	Paperboard container manufacturing	4	T	154
N3222__	3222	Converted paper product manufacturing	3	T	153
N322___	322	Paper manufacturing	2	T	151
N3231__	3231	Printing and related support activities	3	T	157
N323___	323	Printing and related support activities	2	T	156
N324110	324110	Petroleum refineries	5	T	161
N32411_	32411	Petroleum refineries	4	T	160
N3241__	3241	Petroleum and coal products manufacturing	3	T	159
N324___	324	Petroleum and coal products manufacturing	2	T	158
N3251__	3251	Basic chemical manufacturing	3	T	163
N3252__	3252	Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing	3	T	164
N3253__	3253	Pesticide, fertilizer, and other agricultural chemical manufacturing	3	T	165
N32541_	32541	Pharmaceutical and medicine manufacturing	4	T	167
N3254__	3254	Pharmaceutical and medicine manufacturing	3	T	166
N3255__	3255	Paint, coating, and adhesive manufacturing	3	T	168
N3256__	3256	Soap, cleaning compound, and toilet preparation manufacturing	3	T	169
N3259__	3259	Other chemical product and preparation manufacturing	3	T	170
N325___	325	Chemical manufacturing	2	T	162
N32611_	32611	Plastics packaging materials and unlaminated film and sheet manufacturing	4	T	173
N32612_	32612	Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing	4	T	174
N32619_	32619	Other plastics product manufacturing	4	T	175
N3261__	3261	Plastics product manufacturing	3	T	172
N3262__	3262	Rubber product manufacturing	3	T	176
N326___	326	Plastics and rubber products manufacturing	2	T	171
N3271__	3271	Clay product and refractory manufacturing	3	T	178
N32721_	32721	Glass and glass product manufacturing	4	T	180
N3272__	3272	Glass and glass product manufacturing	3	T	179
N327320	327320	Ready-mix concrete manufacturing	5	T	183
N32732_	32732	Ready-mix concrete manufacturing	4	T	182
N3273__	3273	Cement and concrete product manufacturing	3	T	181
N3274__	3274	Lime and gypsum product manufacturing	3	T	184
N3279__	3279	Other nonmetallic mineral product manufacturing	3	T	185
N327___	327	Nonmetallic mineral product manufacturing	2	T	177
N331110	331110	Iron and steel mills and ferroalloy production	5	T	189
N33111_	33111	Iron and steel mills and ferroalloy production	4	T	188
N3311__	3311	Iron and steel mills and ferroalloy production	3	T	187
N3312__	3312	Steel product manufacturing from purchased steel	3	T	190
N33131_	33131	Alumina and aluminum production and processing	4	T	192
N3313__	3313	Alumina and aluminum production and processing	3	T	191
N3314__	3314	Nonferrous metal (except aluminum) production and processing	3	T	193
N3315__	3315	Foundries	3	T	194
N331___	331	Primary metal manufacturing	2	T	186
N33211_	33211	Forging and stamping	4	T	197
N3321__	3321	Forging and stamping	3	T	196
N33221_	33221	Cutlery and handtool manufacturing	4	T	199
N3322__	3322	Cutlery and handtool manufacturing	3	T	198
N332312	332312	Fabricated structural metals	5	T	202
N33231_	33231	Plate work and fabricated structural product manufacturing	4	T	201
N332321	332321	Metal windows and doors	5	T	204
N332322	332322	Sheet metal work	5	T	205
N332323	332323	Ornamental and architectural metal work	5	T	206
N33232_	33232	Ornamental and architectural metal products manufacturing	4	T	203
N3323__	3323	Architectural and structural metals manufacturing	3	T	200
N3324__	3324	Boiler, tank, and shipping container manufacturing	3	T	207
N332510	332510	Hardware manufacturing	5	T	210
N33251_	33251	Hardware manufacturing	4	T	209
N3325__	3325	Hardware manufacturing	3	T	208
N33261_	33261	Spring and wire product manufacturing	4	T	212
N3326__	3326	Spring and wire product manufacturing	3	T	211
N332710	332710	Machine shops	5	T	215
N33271_	33271	Machine shops	4	T	214
N33272_	33272	Turned product and screw, nut, and bolt manufacturing	4	T	216
N3327__	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	3	T	213
N332813	332813	Electroplating, plating, polishing, anodizing and coloring	5	T	219
N33281_	33281	Coating, engraving, heat treating, and allied activities	4	T	218
N3328__	3328	Coating, engraving, heat treating, and allied activities	3	T	217
N33291_	33291	Metal valve manufacturing	4	T	221
N33299_	33299	All other fabricated metal product manufacturing	4	T	222
N3329__	3329	Other fabricated metal product manufacturing	3	T	220
N332___	332	Fabricated metal product manufacturing	2	T	195
N333111	333111	Farm machinery and equipment manufacturing	5	T	225
N3331__	3331	Agriculture, construction, and mining machinery	3	T	224
N33324_	33324	Industrial machinery	4	T	227
N3332__	3332	Industrial machinery	3	T	226
N33331_	33331	Commercial and service industry machinery	4	T	229
N3333__	3333	Commercial and service industry machinery	3	T	228
N33341_	33341	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	4	T	231
N3334__	3334	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	3	T	230
N333514	333514	Special die and tool, die set, jig, and fixture manufacturing	5	T	234
N333517	333517	Machine tool manufacturing	5	T	235
N33351_	33351	Metalworking machinery manufacturing	4	T	233
N3335__	3335	Metalworking machinery manufacturing	3	T	232
N33361_	33361	Engine, turbine, and power transmission equipment manufacturing	4	T	237
N3336__	3336	Engine, turbine, and power transmission equipment manufacturing	3	T	236
N33391_	33391	Pump and compressor manufacturing	4	T	239
N33392_	33392	Material handling equipment manufacturing	4	T	240
N33399_	33399	All other general purpose machinery manufacturing	4	T	241
N3339__	3339	Other general purpose machinery manufacturing	3	T	238
N333___	333	Machinery manufacturing	2	T	223
N33411_	33411	Computer and peripheral equipment manufacturing	4	T	244
N3341__	3341	Computer and peripheral equipment manufacturing	3	T	243
N334220	334220	Radio and television broadcasting and wireless communications equipment manufacturing	5	T	247
N33422_	33422	Radio and television broadcasting and wireless communications equipment manufacturing	4	T	246
N3342__	3342	Communications equipment manufacturing	3	T	245
N334310	334310	Audio and video equipment manufacturing	5	T	250
N33431_	33431	Audio and video equipment manufacturing	4	T	249
N3343__	3343	Audio and video equipment manufacturing	3	T	248
N334413	334413	Semiconductor and related device manufacturing	5	T	253
N33441_	33441	Semiconductor and other electronic component manufacturing	4	T	252
N3344__	3344	Semiconductor and other electronic component manufacturing	3	T	251
N334513	334513	Industrial process variable instruments	5	T	256
N33451_	33451	Navigational, measuring, electromedical, and control instruments manufacturing	4	T	255
N3345__	3345	Navigational, measuring, electromedical, and control instruments manufacturing	3	T	254
N33461_	33461	Manufacturing and reproducing magnetic and optical media	4	T	258
N3346__	3346	Manufacturing and reproducing magnetic and optical media	3	T	257
N334___	334	Computer and electronic product manufacturing	2	T	242
N3351__	3351	Electric lighting equipment manufacturing	3	T	260
N3352__	3352	Household appliance manufacturing	3	T	261
N33531_	33531	Electrical equipment manufacturing	4	T	263
N3353__	3353	Electrical equipment manufacturing	3	T	262
N3359__	3359	Other electrical equipment and component manufacturing	3	T	264
N335___	335	Electrical equipment, appliance, and component manufacturing	2	T	259
N336111	336111	Automobile manufacturing	5	T	268
N336112	336112	Light truck and utility vehicle manufacturing	5	T	269
N33611_	33611	Automobile and light duty motor vehicle manufacturing	4	T	267
N336120	336120	Heavy duty truck manufacturing	5	T	271
N33612_	33612	Heavy duty truck manufacturing	4	T	270
N3361__	3361	Motor vehicle manufacturing	3	T	266
N336211	336211	Motor vehicle body manufacturing	5	T	274
N33621_	33621	Motor vehicle body and trailer manufacturing	4	T	273
N3362__	3362	Motor vehicle body and trailer manufacturing	3	T	272
N336310	336310	Motor vehicle gasoline engines and engine parts	5	T	277
N33631_	33631	Motor vehicle gasoline engines and engine parts	4	T	276
N336320	336320	Motor vehicle electrical and electronic equipment	5	T	279
N33632_	33632	Motor vehicle electrical and electronic equipment	4	T	278
N336350	336350	Motor vehicle transmission and power train parts manufacturing	5	T	281
N33635_	33635	Motor vehicle transmission and power train parts manufacturing	4	T	280
N336370	336370	Motor vehicle metal stamping	5	T	283
N33637_	33637	Motor vehicle metal stamping	4	T	282
N336390	336390	Other motor vehicle parts	5	T	285
N33639_	33639	Other motor vehicle parts	4	T	284
N3363__	3363	Motor vehicle parts manufacturing	3	T	275
N336411	336411	Aircraft manufacturing	5	T	288
N33641_	33641	Aerospace product and parts manufacturing	4	T	287
N3364__	3364	Aerospace product and parts manufacturing	3	T	286
N336510	336510	Railroad rolling stock manufacturing	5	T	291
N33651_	33651	Railroad rolling stock manufacturing	4	T	290
N3365__	3365	Railroad rolling stock manufacturing	3	T	289
N33661_	33661	Ship and boat building	4	T	293
N3366__	3366	Ship and boat building	3	T	292
