OCCSOC,INDNAICS,count,tot_sum,percent
111021,111,25832,10818057,0.238785948345438
111021,112,8906,10818057,0.0823253196022169
111021,1133,1825,10818057,0.0168699425414379
111021,113M,2184,10818057,0.0201884682249317
111021,114,1980,10818057,0.0183027321819436
111021,115,9181,10818057,0.084867365738598
111021,211,35426,10818057,0.327471005190673
111021,2121,8646,10818057,0.0799219305278203
111021,2122,4178,10818057,0.0386206136647274
111021,2123,14742,10818057,0.136272160518289
111021,213,58066,10818057,0.536750730745826
111021,2211P,75324,10818057,0.696280302460969
111021,2212P,17204,10818057,0.159030406291999
111021,22132,36396,10818057,0.336437495198999
111021,2213M,69078,10818057,0.638543501850656
111021,221MP,9265,10818057,0.0856438452857107
111021,22S,4216,10818057,0.0389718782217546
111021,23,398879,10818057,3.68715934848559
111021,3113,5472,10818057,0.0505820962119168
111021,3114,11117,10818057,0.102763370538721
111021,3115,10353,10818057,0.0957011041816474
111021,3116,20215,10818057,0.186863500534338
111021,311811,10150,10818057,0.0938246119427916
111021,3118Z,12325,10818057,0.113929885930533
111021,311M1,16527,10818057,0.152772350894435
111021,311M2,22138,10818057,0.204639335880741
111021,311S,3270,10818057,0.0302272395126038
111021,3121,35931,10818057,0.332139126277482
111021,3122,3335,10818057,0.0308280867812029
111021,3131,396,10818057,0.00366054643638872
111021,3132Z,6797,10818057,0.0628301366872073
111021,3133,1272,10818057,0.0117581188562789
111021,31411,1851,10818057,0.0171102814488776
111021,314Z,6405,10818057,0.0592065654673478
111021,3152,17197,10818057,0.158965699663073
111021,3159,359,10818057,0.00331852568349381
111021,315M,1464,10818057,0.0135329292496795
111021,3162,3031,10818057,0.0280179703249853
111021,316M,1758,10818057,0.0162506076645741
111021,31M,1187,10818057,0.0109723955050339
111021,3211,9072,10818057,0.0838597910881778
111021,3212,4091,10818057,0.0378164027052178
111021,32199M,4205,10818057,0.0388701963762994
111021,3219ZM,19381,10818057,0.179154167888004
111021,3221,19571,10818057,0.18091049067314
111021,32221,12361,10818057,0.114262662879295
111021,3222M,7030,10818057,0.064983943050032
111021,323,14732,10818057,0.136179722476966
111021,3231,36455,10818057,0.336982879642805
111021,32411,26265,10818057,0.242788515534721
111021,3241M,4431,10818057,0.040959296110198
111021,3252,14365,10818057,0.132787246360414
111021,3253,5736,10818057,0.0530224605028426
111021,3254,81959,10818057,0.757612942878744
111021,3255,10299,10818057,0.0952019387585035
111021,3256,16445,10818057,0.152014358955587
111021,325M,54180,10818057,0.500829307887729
111021,3261,32459,10818057,0.300044638330155
111021,32621,6093,10818057,0.0563224985780718
111021,3262M,5262,10818057,0.0486408973441349
111021,32711,1682,10818057,0.0155480785505197
111021,32712,2031,10818057,0.0187741661926906
111021,327120,1327,10818057,0.0122665280835551
111021,3272,9448,10818057,0.0873354614419207
111021,3279,8796,10818057,0.0813085011476645
111021,327M,19136,10818057,0.176889435875592
111021,3313,3770,10818057,0.0348491415787512
111021,3314,4324,10818057,0.0399702090680424
111021,3315,7938,10818057,0.0733773172021556
111021,331M,25376,10818057,0.234570773661111
111021,3321,5489,10818057,0.0507392408821658
111021,3322,3198,10818057,0.0295616856150786
111021,3327,23800,10818057,0.220002538348615
111021,3328,13474,10818057,0.124551016878539
111021,33299M,2149,10818057,0.0198649350803014
111021,332M,35540,10818057,0.328524798861755
111021,332MZ,24864,10818057,0.229837945945376
111021,33311,8949,10818057,0.0827228031799056
111021,3331M,17198,10818057,0.158974943467205
111021,3333,9373,10818057,0.0866421761319986
111021,3335,14665,10818057,0.135560387600102
111021,3336,6844,10818057,0.0632645954814252
111021,333M,32202,10818057,0.297668980668155
111021,333MS,32107,10818057,0.296790819275587
111021,333S,453,10818057,0.00418744327192952
111021,3341,26826,10818057,0.247974289652939
111021,3345,27742,10818057,0.256441614238121
111021,334M1,21568,10818057,0.199370367525333
111021,334M2,71890,10818057,0.664537079070669
111021,3352,5320,10818057,0.049177037983808
111021,335M,36659,10818057,0.338868615685793
111021,33641M1,33166,10818057,0.306580007851687
111021,33641M2,22517,10818057,0.208142737646881
111021,3365,2364,10818057,0.0218523529687448
111021,3366,9485,10818057,0.0876774821948156
111021,3369,2981,10818057,0.0275557801183706
111021,336M,84330,10818057,0.779530002476415
111021,337,28048,10818057,0.259270218302603
111021,3391,63152,10818057,0.583764718562677
111021,3399M,13467,10818057,0.124486310249613
111021,3399ZM,45007,10818057,0.416035892582189
111021,33MS,767,10818057,0.00708999776947006
111021,3MS,20162,10818057,0.186373578915326
111021,4231,39065,10818057,0.361109208428094
111021,4232,11418,10818057,0.105545755582541
111021,4233,36753,10818057,0.339737533274228
111021,4234,46613,10818057,0.430881442018655
111021,4235,13187,10818057,0.121898045092571
111021,4236,39904,10818057,0.368864760095089
111021,4237,32277,10818057,0.298362265978077
111021,4238,75334,10818057,0.696372740502292
111021,42393,13730,10818057,0.126917430736407
111021,4239Z,20417,10818057,0.188730748969062
111021,4241,12112,10818057,0.111960955650354
111021,4243,21112,10818057,0.195155192841006
111021,4244,74162,10818057,0.685539002059242
111021,4245,11372,10818057,0.105120540592456
111021,4247,17406,10818057,0.160897654726722
111021,4248,15434,10818057,0.142668872977837
111021,42491,7335,10818057,0.0678033033103819
111021,4249Z,32467,10818057,0.300118588763213
111021,424M,28888,10818057,0.26703501377373
111021,4251,12420,10818057,0.114808047323101
111021,42S,9616,10818057,0.0888884205361462
111021,4411,167923,10818057,1.55224732130733
111021,4412,29750,10818057,0.275003172935768
111021,4413,45371,10818057,0.419400637286345
111021,442,78058,10818057,0.721552862958663
111021,443111,4204,10818057,0.0388609525721671
111021,443141,3515,10818057,0.032491971525016
111021,443142,26528,10818057,0.245219636021515
111021,4431M,32868,10818057,0.303825354220263
111021,44413,15686,10818057,0.144998311619175
111021,4441Z,89516,10818057,0.827468370706496
111021,4442,24777,10818057,0.229033734985867
111021,4451,93636,10818057,0.86555284373155
111021,44511,12742,10818057,0.1177845522537
111021,44512,4725,10818057,0.0436769745250926
111021,4452,16645,10818057,0.153863119782046
111021,4453,16024,10818057,0.148122717415891
111021,44611,28341,10818057,0.261978652913365
111021,446Z,36558,10818057,0.337934991468431
111021,447,47380,10818057,0.437971439788125
111021,4481,75482,10818057,0.697740823513871
111021,44821,13096,10818057,0.121056858916532
111021,4483,13403,10818057,0.123894706785146
111021,448ZM,15626,10818057,0.144443683371238
