naics,indnaics,industry_code,industry_text,naics2017,naics2012,naics2007,naics2002
211,211,N211___,Oil and gas extraction,211,211,211,211
2121,2121,N2121__,Coal mining,2121,2121,2121,2121
2122,2122,N2122__,Metal ore mining,2122,2122,2122,2122
2123,2123,N2123__,Nonmetallic mineral mining and quarrying,2123,2123,2123,2123
21,21S,N21____,Mining,21,21,21,21
213,213,N213___,Support activities for mining,213,213,213,213
2211,2211P,N2211__,"Electric power generation, transmission and distribution",2211,2211,2211,2211
2212,2212P,N2212__,Natural gas distribution,2212,2212,2212,2212
2211,221MP,N2211__,"Electric power generation, transmission and distribution",2211,2211,2211,2211
2212,221MP,N2212__,Natural gas distribution,2212,2212,2212,2212
22,22S,N22____,Utilities,22,22,22,22
3111,311M1,N3111__,Animal food manufacturing,3111,3111,3111,3111
3112,311M1,N3112__,Grain and oilseed milling,3112,3112,3112,3112
3113,3113,N3113__,Sugar and confectionery product manufacturing,3113,3113,3113,3113
3114,3114,N3114__,Fruit and vegetable preserving and specialty food manufacturing,3114,3114,3114,3114
3115,3115,N3115__,Dairy product manufacturing,3115,3115,3115,3115
3116,3116,N3116__,Animal slaughtering and processing,3116,3116,3116,3116
311811,311811,N311811,Retail bakeries,311811,311811,311811,311811
3118,3118Z,N3118__,Bakeries and tortilla manufacturing,3118,3118,3118,3118
3117,311M2,N3117__,Seafood product preparation and packaging,3117,3117,3117,3117
3119,311M2,N3119__,Other food manufacturing,3119,3119,3119,3119
311,311S,N311___,Food manufacturing,311,311,311,311
3121,3121,N3121__,Beverage manufacturing,3121,3121,3121,3121
3122,3122,N3122__,Tobacco manufacturing,3122,3122,3122,3122
3131,3131,N3131__,"Fiber, yarn, and thread mills",3131,3131,3131,3131
3132,3132Z,N3132__,Fabric mills,3132,3132,3132,3132
3133,3133,N3133__,Textile and fabric finishing and fabric coating mills,3133,3133,3133,3133
314,314Z,N314___,Textile product mills,314,314,314,314
3151,31M,N3151__,Apparel knitting mills,3151,3151,3151,3151
3152,3152,N3152__,Cut and sew apparel manufacturing,3152,3152,3152,3152
3159,3159,N3159__,Apparel accessories and other apparel manufacturing,3159,3159,3159,3159
3159,315M,N3159__,Apparel accessories and other apparel manufacturing,3159,3159,3159,3159
3162,3162,N3162__,Footwear manufacturing,3162,3162,3162,3162
3161,316M,N3161__,Leather and hide tanning and finishing,3161,3161,3161,3161
3169,316M,N3169__,Other leather and allied product manufacturing,3169,3169,3169,3169
3221,3221,N3221__,"Pulp, paper, and paperboard mills",3221,3221,3221,3221
32221,32221,N32221_,Paperboard container manufacturing,32221,32221,32221,32221
32411,32411,N32411_,Petroleum refineries,32411,32411,32411,32411
3252,3252,N3252__,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",3252,3252,3252,3252
3253,3253,N3253__,"Pesticide, fertilizer, and other agricultural chemical manufacturing",3253,3253,3253,3253
3254,3254,N3254__,Pharmaceutical and medicine manufacturing,3254,3254,3254,3254
3255,3255,N3255__,"Paint, coating, and adhesive manufacturing",3255,3255,3255,3255
3256,3256,N3256__,"Soap, cleaning compound, and toilet preparation manufacturing",3256,3256,3256,3256
3251,325M,N3251__,Basic chemical manufacturing,3251,3251,3251,3251
3259,325M,N3259__,Other chemical product and preparation manufacturing,3259,3259,3259,3259
3261,3261,N3261__,Plastics product manufacturing,3261,3261,3261,3261
3272,3272,N3272__,Glass and glass product manufacturing,3272,3272,3272,3272
3273,327M,N3273__,Cement and concrete product manufacturing,3273,3273,3273,3273
