year,sector_code,sector_text,industry_code,industry_text,L20,T30,productivity
2001,B,Mining,N2111__,Oil and gas extraction,232.19,128527.62,553.545027778974
2002,B,Mining,N2111__,Oil and gas extraction,218.205,105854.297,485.113984555808
2003,B,Mining,N2111__,Oil and gas extraction,210.035,154303.459,734.655933534887
2004,B,Mining,N2111__,Oil and gas extraction,233.689,179789.058,769.351822293732
2005,B,Mining,N2111__,Oil and gas extraction,233.902,233870.143,999.863801934143
2006,B,Mining,N2111__,Oil and gas extraction,254.735,234832.752,921.870775511806
2007,B,Mining,N2111__,Oil and gas extraction,267.119,249420.473,933.742912334952
2008,B,Mining,N2111__,Oil and gas extraction,289.783,340344.978,1174.48220910129
2009,B,Mining,N2111__,Oil and gas extraction,290.683,189623.107,652.336418022382
2010,B,Mining,N2111__,Oil and gas extraction,282.114,249821.982,885.535570726727
2011,B,Mining,N2111__,Oil and gas extraction,338.616,292943.481,865.12002090864
2012,B,Mining,N2111__,Oil and gas extraction,403.235,292750.167,726.003861271963
2013,B,Mining,N2111__,Oil and gas extraction,393.694,354749.821,901.080079960579
2014,B,Mining,N2111__,Oil and gas extraction,400.965,396510.501,988.890554038382
2015,B,Mining,N2111__,Oil and gas extraction,389.448,225845.359,579.911461863972
2016,B,Mining,N2111__,Oil and gas extraction,334.194,193101.051,577.811244367044
2017,B,Mining,N2111__,Oil and gas extraction,256.073,248475.601,970.331120422692
2018,B,Mining,N2111__,Oil and gas extraction,258.83,346316.985,1338.00944635475
2019,B,Mining,N2111__,Oil and gas extraction,293.983,337615.181,1148.41736086781
2001,B,Mining,N211___,Oil and gas extraction,232.19,128527.62,553.545027778974
2002,B,Mining,N211___,Oil and gas extraction,218.205,105854.297,485.113984555808
2003,B,Mining,N211___,Oil and gas extraction,210.035,154303.459,734.655933534887
2004,B,Mining,N211___,Oil and gas extraction,233.689,179789.058,769.351822293732
2005,B,Mining,N211___,Oil and gas extraction,233.902,233870.143,999.863801934143
2006,B,Mining,N211___,Oil and gas extraction,254.735,234832.752,921.870775511806
2007,B,Mining,N211___,Oil and gas extraction,267.119,249420.473,933.742912334952
2008,B,Mining,N211___,Oil and gas extraction,289.783,340344.978,1174.48220910129
2009,B,Mining,N211___,Oil and gas extraction,290.683,189623.107,652.336418022382
2010,B,Mining,N211___,Oil and gas extraction,282.114,249821.982,885.535570726727
2011,B,Mining,N211___,Oil and gas extraction,338.616,292943.481,865.12002090864
2012,B,Mining,N211___,Oil and gas extraction,403.235,292750.167,726.003861271963
2013,B,Mining,N211___,Oil and gas extraction,393.694,354749.821,901.080079960579
2014,B,Mining,N211___,Oil and gas extraction,400.965,396510.501,988.890554038382
2015,B,Mining,N211___,Oil and gas extraction,389.448,225845.359,579.911461863972
2016,B,Mining,N211___,Oil and gas extraction,334.194,193101.051,577.811244367044
2017,B,Mining,N211___,Oil and gas extraction,256.073,248475.601,970.331120422692
2018,B,Mining,N211___,Oil and gas extraction,258.83,346316.985,1338.00944635475
2019,B,Mining,N211___,Oil and gas extraction,293.983,337615.181,1148.41736086781
2001,B,Mining,N21211_,Coal mining,162.61,19888.999,122.311044831191
2002,B,Mining,N21211_,Coal mining,156.581,19630.352,125.368671805647
2003,B,Mining,N21211_,Coal mining,147.372,19203.055,130.303280134625
2004,B,Mining,N21211_,Coal mining,154.131,22351.934,145.019068195237
2005,B,Mining,N21211_,Coal mining,167.338,26395.39,157.736975462836
2006,B,Mining,N21211_,Coal mining,182.362,28705.994,157.412147267523
2007,B,Mining,N21211_,Coal mining,176.032,29524.676,167.723345755317
2008,B,Mining,N21211_,Coal mining,190.826,36524.889,191.404153522057
2009,B,Mining,N21211_,Coal mining,186.532,35935.314,192.649593635408
2010,B,Mining,N21211_,Coal mining,186.258,38640.254,207.455540164718
2011,B,Mining,N21211_,Coal mining,205.459,44564.34,216.901376917049
2012,B,Mining,N21211_,Coal mining,190.975,40690.228,213.065731116638
2013,B,Mining,N21211_,Coal mining,172.261,36741.594,213.290263031098
2014,B,Mining,N21211_,Coal mining,172.306,35053.604,203.438092695553
2015,B,Mining,N21211_,Coal mining,144.887,28760.638,198.503923747472
2016,B,Mining,N21211_,Coal mining,107.057,22169.863,207.084665178363
2017,B,Mining,N21211_,Coal mining,113.223,26177.187,231.200259664556
2018,B,Mining,N21211_,Coal mining,116.071,27209.924,234.424826183974
2019,B,Mining,N21211_,Coal mining,116.24,24298.833,209.040201307639
2001,B,Mining,N2121__,Coal mining,162.61,19888.999,122.311044831191
2002,B,Mining,N2121__,Coal mining,156.581,19630.352,125.368671805647
2003,B,Mining,N2121__,Coal mining,147.372,19203.055,130.303280134625
2004,B,Mining,N2121__,Coal mining,154.131,22351.934,145.019068195237
2005,B,Mining,N2121__,Coal mining,167.338,26395.39,157.736975462836
2006,B,Mining,N2121__,Coal mining,182.362,28705.994,157.412147267523
2007,B,Mining,N2121__,Coal mining,176.032,29524.676,167.723345755317
2008,B,Mining,N2121__,Coal mining,190.826,36524.889,191.404153522057
2009,B,Mining,N2121__,Coal mining,186.532,35935.314,192.649593635408
2010,B,Mining,N2121__,Coal mining,186.258,38640.254,207.455540164718
2011,B,Mining,N2121__,Coal mining,205.459,44564.34,216.901376917049
2012,B,Mining,N2121__,Coal mining,190.975,40690.228,213.065731116638
2013,B,Mining,N2121__,Coal mining,172.261,36741.594,213.290263031098
2014,B,Mining,N2121__,Coal mining,172.306,35053.604,203.438092695553
2015,B,Mining,N2121__,Coal mining,144.887,28760.638,198.503923747472
2016,B,Mining,N2121__,Coal mining,107.057,22169.863,207.084665178363
2017,B,Mining,N2121__,Coal mining,113.223,26177.187,231.200259664556
2018,B,Mining,N2121__,Coal mining,116.071,27209.924,234.424826183974
2019,B,Mining,N2121__,Coal mining,116.24,24298.833,209.040201307639
2001,B,Mining,N2122__,Metal ore mining,66.796,7879.583,117.964893107372
2002,B,Mining,N2122__,Metal ore mining,57.185,7514.495,131.406750021859
2003,B,Mining,N2122__,Metal ore mining,54.319,8153.394,150.102063734605
2004,B,Mining,N2122__,Metal ore mining,57.847,10553.624,182.440299410514
2005,B,Mining,N2122__,Metal ore mining,60.306,12352.408,204.828839584784
2006,B,Mining,N2122__,Metal ore mining,66.754,19701.143,295.130524013542
2007,B,Mining,N2122__,Metal ore mining,79.31,21230.898,267.695095196066
2008,B,Mining,N2122__,Metal ore mining,87.773,22700.71,258.629760860401
2009,B,Mining,N2122__,Metal ore mining,70.05,18426.114,263.042312633833
2010,B,Mining,N2122__,Metal ore mining,74.662,26016.188,348.452867589939
2011,B,Mining,N2122__,Metal ore mining,89.618,31255.028,348.758374433708
2012,B,Mining,N2122__,Metal ore mining,97.659,31868.879,326.328131559815
2013,B,Mining,N2122__,Metal ore mining,91.292,27784.032,304.342461551943
2014,B,Mining,N2122__,Metal ore mining,91.303,26347.586,288.573058935632
2015,B,Mining,N2122__,Metal ore mining,88.735,22645.925,255.208485941286
2016,B,Mining,N2122__,Metal ore mining,83.794,23191.181,276.764219395183
2017,B,Mining,N2122__,Metal ore mining,79.459,25125.102,316.202091644748
2018,B,Mining,N2122__,Metal ore mining,84.796,25858.658,304.951389216472
2019,B,Mining,N2122__,Metal ore mining,84.92,26067.575,306.966262364578
2001,B,Mining,N21231_,Stone Mining and Quarrying,110.377,9204.356,83.390162805657
2002,B,Mining,N21231_,Stone Mining and Quarrying,104.27,8985.226,86.1726862951952
2003,B,Mining,N21231_,Stone Mining and Quarrying,97.731,9402.061,96.2034666584809
2004,B,Mining,N21231_,Stone Mining and Quarrying,102.83,10304.141,100.205591753379
2005,B,Mining,N21231_,Stone Mining and Quarrying,109.718,12780.198,116.482236278459
2006,B,Mining,N21231_,Stone Mining and Quarrying,115.737,14587.896,126.043495165764
2007,B,Mining,N21231_,Stone Mining and Quarrying,125.024,14518.513,116.125807844894
2008,B,Mining,N21231_,Stone Mining and Quarrying,104.48,14074.407,134.709102220521
