year,sector_code,sector_text,industry_code,industry_text,L20,T30,productivity
2009,B,Mining,N21231_,Stone Mining and Quarrying,88.286,11732.182,132.888362820832
2010,B,Mining,N21231_,Stone Mining and Quarrying,90.307,11495.045,127.28852691375
2011,B,Mining,N21231_,Stone Mining and Quarrying,91.457,11619.668,127.050613949725
2012,B,Mining,N21231_,Stone Mining and Quarrying,85.869,11956.421,139.240249682656
2013,B,Mining,N21231_,Stone Mining and Quarrying,85.426,12279.784,143.747617821272
2014,B,Mining,N21231_,Stone Mining and Quarrying,87.237,13378.805,153.361589692447
2015,B,Mining,N21231_,Stone Mining and Quarrying,91.59,14763.735,161.1937438585
2016,B,Mining,N21231_,Stone Mining and Quarrying,96.874,15712.977,162.200146582158
2017,B,Mining,N21231_,Stone Mining and Quarrying,94.863,16271.06,171.521668089772
2018,B,Mining,N21231_,Stone Mining and Quarrying,95.955,17418.158,181.524235318639
2019,B,Mining,N21231_,Stone Mining and Quarrying,99.993,19353.596,193.549508465593
2001,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",93.287,7981.242,85.55577947624
2002,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",87.253,8123.213,93.0995266638396
2003,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",89.8,8501.562,94.6721826280624
2004,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",89.747,9258.61,103.163448360391
2005,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",92.962,10125.391,108.91967685721
2006,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",91.547,11524.233,125.883240302795
2007,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",93.234,11738.834,125.907222687003
2008,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",87.223,10765.134,123.420817903535
2009,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",74.343,8824.044,118.693676607078
2010,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",72.288,8748.384,121.021248339973
2011,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",72.011,9852.564,136.820263570843
2012,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",72.798,10697.898,146.953185527075
2013,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",71.31,11649.468,163.36373580143
2014,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",82.036,16667.027,203.167231459359
2015,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",84.719,14063.38,166.000306896918
2016,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",83.164,12159.107,146.206375354721
2017,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",84.47,15136.345,179.191961643187
2018,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",88.91,17465.254,196.437453604769
2019,B,Mining,N21232_,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",89.448,16658.885,186.24100035775
2001,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,31.575,2707.859,85.7595882818686
2002,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,29.443,2759.199,93.7132425364263
2003,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,29.001,2758.24,95.1084445363953
2004,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,27.562,3048.067,110.589471010812
2005,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,28.365,3461.947,122.049955931606
2006,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,27.254,3466.702,127.19975049534
2007,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,27.885,4296.299,154.072045902815
2008,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,27.402,5767.999,210.495547770236
2009,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,24.194,6376.026,263.537488633546
2010,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,23.69,5038.268,212.674883917265
2011,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,24.468,6318.118,258.219633807422
2012,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,24.228,6598.411,272.346499917451
2013,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,25.481,6523.464,256.012872336251
2014,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,25.306,5986.684,236.571722121236
2015,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,26.322,6213.456,236.055618873946
2016,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,25.692,5779.057,224.936050132337
2017,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,23.746,5895.979,248.293565232039
2018,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,23.162,5828.574,251.643813142216
2019,B,Mining,N21239_,Other Nonmetallic Mineral Mining and Quarrying,26.826,5706.387,212.718519346902
2001,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,236.688,19893.455,84.0492758399243
2002,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,222.152,19867.638,89.4326317116209
2003,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,217.658,20661.861,94.9281028034807
2004,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,220.564,22610.816,102.51362869734
2005,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,231.847,26367.531,113.72815261789
2006,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,235.844,29578.817,125.416873017758
2007,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,248.527,30553.646,122.93894023587
2008,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,221.438,30607.54,138.221714430224
2009,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,187.782,26932.252,143.422969187675
2010,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,186.864,25281.696,135.294631389674
2011,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,188.89,27790.351,147.124522208693
2012,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,183.856,29252.73,159.106746584283
2013,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,183.371,30452.716,166.07160347056
2014,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,196.722,36032.515,183.164643507081
2015,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,204.507,35040.571,171.341670456268
2016,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,208.125,33651.141,161.687163963964
2017,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,205.064,37303.384,181.910935122693
2018,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,210.164,40711.986,193.715317561523
2019,B,Mining,N2123__,Nonmetallic mineral mining and quarrying,218.545,41718.867,190.893715253152
2001,B,Mining,N212___,Mining (except oil and gas),466.094,47662.042,102.25843284831
2002,B,Mining,N212___,Mining (except oil and gas),435.918,47012.491,107.847097389876
2003,B,Mining,N212___,Mining (except oil and gas),419.348,48018.317,114.507084807845
2004,B,Mining,N212___,Mining (except oil and gas),432.541,55516.378,128.349400403661
2005,B,Mining,N212___,Mining (except oil and gas),459.491,65115.334,141.711881190274
2006,B,Mining,N212___,Mining (except oil and gas),484.96,77985.955,160.809046106895
2007,B,Mining,N212___,Mining (except oil and gas),503.87,81309.22,161.369440530296
2008,B,Mining,N212___,Mining (except oil and gas),500.037,89833.139,179.652983679208
2009,B,Mining,N212___,Mining (except oil and gas),444.364,81293.68,182.943892844605
2010,B,Mining,N212___,Mining (except oil and gas),447.784,89938.139,200.851613724474
2011,B,Mining,N212___,Mining (except oil and gas),483.967,103609.718,214.08426194348
2012,B,Mining,N212___,Mining (except oil and gas),472.489,101811.837,215.479803762627
2013,B,Mining,N212___,Mining (except oil and gas),446.924,94978.342,212.515644718118
2014,B,Mining,N212___,Mining (except oil and gas),460.331,97433.706,211.660101101164
2015,B,Mining,N212___,Mining (except oil and gas),438.129,86447.133,197.309771779544
2016,B,Mining,N212___,Mining (except oil and gas),398.976,79012.185,198.037438342156
2017,B,Mining,N212___,Mining (except oil and gas),397.746,88605.673,222.769488568081
2018,B,Mining,N212___,Mining (except oil and gas),411.03,93780.568,228.159910468822
2019,B,Mining,N212___,Mining (except oil and gas),419.705,92085.275,219.404760486532
2001,B,Mining,N21311_,Support activities for mining,458.17,27082.743,59.1106859899164
2002,B,Mining,N21311_,Support activities for mining,401.377,21707.67,54.0829942921493
2003,B,Mining,N21311_,Support activities for mining,402.15,26049.868,64.7764963322144
2004,B,Mining,N21311_,Support activities for mining,446.489,35497.113,79.5027716248329
2005,B,Mining,N21311_,Support activities for mining,524.428,38346.235,73.1201137239049
2006,B,Mining,N21311_,Support activities for mining,621.249,47085.598,75.7918290411735
2007,B,Mining,N21311_,Support activities for mining,714.469,72087.395,100.896462967603
2008,B,Mining,N21311_,Support activities for mining,742.089,93806.526,126.408727255087
2009,B,Mining,N21311_,Support activities for mining,608.945,61477.939,100.958114443833
2010,B,Mining,N21311_,Support activities for mining,690.277,65561.977,94.9792286285071
2011,B,Mining,N21311_,Support activities for mining,846.794,87650.115,103.508190894125
2012,B,Mining,N21311_,Support activities for mining,925.175,118734.341,128.337169724647
2013,B,Mining,N21311_,Support activities for mining,954.855,137607.045,144.113027632468
2014,B,Mining,N21311_,Support activities for mining,1057.742,178275.94,168.543879320288
2015,B,Mining,N21311_,Support activities for mining,867.586,116681.609,134.489962954681
2016,B,Mining,N21311_,Support activities for mining,625.37,63302.796,101.224548667189
2017,B,Mining,N21311_,Support activities for mining,711.911,88403.518,124.177766602848
2018,B,Mining,N21311_,Support activities for mining,815.098,131731.888,161.614784970642
2001,B,Mining,N2131__,Support activities for mining,458.17,27082.743,59.1106859899164
2002,B,Mining,N2131__,Support activities for mining,401.377,21707.67,54.0829942921493
2003,B,Mining,N2131__,Support activities for mining,402.15,26049.868,64.7764963322144
2004,B,Mining,N2131__,Support activities for mining,446.489,35497.113,79.5027716248329
2005,B,Mining,N2131__,Support activities for mining,524.428,38346.235,73.1201137239049
2006,B,Mining,N2131__,Support activities for mining,621.249,47085.598,75.7918290411735
2007,B,Mining,N2131__,Support activities for mining,714.469,72087.395,100.896462967603
2008,B,Mining,N2131__,Support activities for mining,742.089,93806.526,126.408727255087
2009,B,Mining,N2131__,Support activities for mining,608.945,61477.939,100.958114443833
2010,B,Mining,N2131__,Support activities for mining,690.277,65561.977,94.9792286285071
2011,B,Mining,N2131__,Support activities for mining,846.794,87650.115,103.508190894125
2012,B,Mining,N2131__,Support activities for mining,925.175,118734.341,128.337169724647
2013,B,Mining,N2131__,Support activities for mining,954.855,137607.045,144.113027632468
2014,B,Mining,N2131__,Support activities for mining,1057.742,178275.94,168.543879320288
2015,B,Mining,N2131__,Support activities for mining,867.586,116681.609,134.489962954681
2016,B,Mining,N2131__,Support activities for mining,625.37,63302.796,101.224548667189
2017,B,Mining,N2131__,Support activities for mining,711.911,88403.518,124.177766602848
2018,B,Mining,N2131__,Support activities for mining,815.098,131731.888,161.614784970642
2001,B,Mining,N213___,Support activities for mining,458.17,27082.743,59.1106859899164
2002,B,Mining,N213___,Support activities for mining,401.377,21707.67,54.0829942921493
2003,B,Mining,N213___,Support activities for mining,402.15,26049.868,64.7764963322144
2004,B,Mining,N213___,Support activities for mining,446.489,35497.113,79.5027716248329
2005,B,Mining,N213___,Support activities for mining,524.428,38346.235,73.1201137239049
2006,B,Mining,N213___,Support activities for mining,621.249,47085.598,75.7918290411735
2007,B,Mining,N213___,Support activities for mining,714.469,72087.395,100.896462967603
2008,B,Mining,N213___,Support activities for mining,742.089,93806.526,126.408727255087
2009,B,Mining,N213___,Support activities for mining,608.945,61477.939,100.958114443833
2010,B,Mining,N213___,Support activities for mining,690.277,65561.977,94.9792286285071
2011,B,Mining,N213___,Support activities for mining,846.794,87650.115,103.508190894125
2012,B,Mining,N213___,Support activities for mining,925.175,118734.341,128.337169724647
2013,B,Mining,N213___,Support activities for mining,954.855,137607.045,144.113027632468
2014,B,Mining,N213___,Support activities for mining,1057.742,178275.94,168.543879320288
2015,B,Mining,N213___,Support activities for mining,867.586,116681.609,134.489962954681
2016,B,Mining,N213___,Support activities for mining,625.37,63302.796,101.224548667189
2017,B,Mining,N213___,Support activities for mining,711.911,88403.518,124.177766602848
2018,B,Mining,N213___,Support activities for mining,815.098,131731.888,161.614784970642
2001,B,Mining,N21____,Mining,1156.453,176189.667,152.353504206397
2002,B,Mining,N21____,Mining,1055.5,152866.797,144.828798673614
2003,B,Mining,N21____,Mining,1031.533,202321.774,196.136986407609
2004,B,Mining,N21____,Mining,1112.719,235305.434,211.468873992446
2005,B,Mining,N21____,Mining,1217.82,298985.468,245.508751703864
2006,B,Mining,N21____,Mining,1360.943,312818.708,229.854378912269
2007,B,Mining,N21____,Mining,1485.458,330729.693,222.644930385107
2008,B,Mining,N21____,Mining,1531.909,430178.117,280.811795609269
2009,B,Mining,N21____,Mining,1343.991,270916.787,201.576340168945
2010,B,Mining,N21____,Mining,1420.175,339760.121,239.238207263189
2011,B,Mining,N21____,Mining,1669.377,396553.199,237.545622708352
2012,B,Mining,N21____,Mining,1800.9,394562.004,219.091567549559
2013,B,Mining,N21____,Mining,1795.474,449728.163,250.47879445762
2014,B,Mining,N21____,Mining,1919.037,493944.206,257.391705318866
2015,B,Mining,N21____,Mining,1695.162,312292.492,184.225750695214
2016,B,Mining,N21____,Mining,1358.54,272113.235,200.298287131774
2017,B,Mining,N21____,Mining,1365.73,337081.274,246.813992516823
2018,B,Mining,N21____,Mining,1484.958,440097.553,296.370370744492
2019,B,Mining,N21____,Mining,1523.897,429700.457,281.974737793959
2001,C,Utilities,N2211__,"Electric power generation, transmission and distribution",829.168,328750.095,396.481889074349
2002,C,Utilities,N2211__,"Electric power generation, transmission and distribution",809.333,316122.32,390.596108153257
2003,C,Utilities,N2211__,"Electric power generation, transmission and distribution",778.144,323226.381,415.381190370934
2004,C,Utilities,N2211__,"Electric power generation, transmission and distribution",758.14,332903.083,439.105024138022
2005,C,Utilities,N2211__,"Electric power generation, transmission and distribution",746.792,377961.452,506.113418461901
2006,C,Utilities,N2211__,"Electric power generation, transmission and distribution",744.298,416357.563,559.396321097195
2007,C,Utilities,N2211__,"Electric power generation, transmission and distribution",766.827,430092.141,560.87245363035
2008,C,Utilities,N2211__,"Electric power generation, transmission and distribution",789.339,450893.005,571.228591264336
2009,C,Utilities,N2211__,"Electric power generation, transmission and distribution",782.322,435388.089,556.533101459502
2010,C,Utilities,N2211__,"Electric power generation, transmission and distribution",766.879,441393.183,575.570830600395
2011,C,Utilities,N2211__,"Electric power generation, transmission and distribution",777.273,431054.387,554.572700968643
2012,C,Utilities,N2211__,"Electric power generation, transmission and distribution",756.855,415234.847,548.631966492921
2013,C,Utilities,N2211__,"Electric power generation, transmission and distribution",769.3,424734.582,552.105267125959
2014,C,Utilities,N2211__,"Electric power generation, transmission and distribution",771.93,445653.861,577.324188721775
2015,C,Utilities,N2211__,"Electric power generation, transmission and distribution",778.206,446042.979,573.168260075096
2016,C,Utilities,N2211__,"Electric power generation, transmission and distribution",783.158,441068.149,563.191781224223
2017,C,Utilities,N2211__,"Electric power generation, transmission and distribution",780.332,445975.804,571.520588672514
2018,C,Utilities,N2211__,"Electric power generation, transmission and distribution",781.838,461785.321,590.640671085314
2019,C,Utilities,N2211__,"Electric power generation, transmission and distribution",753.143,454538.291,603.521895576272
2001,C,Utilities,N221210,Natural gas distribution,226.903,103520.998,456.234593636929
2002,C,Utilities,N221210,Natural gas distribution,224.051,66500.952,296.811672342458
2003,C,Utilities,N221210,Natural gas distribution,222.368,89516.483,402.560094078285
2004,C,Utilities,N221210,Natural gas distribution,214.383,101126.957,471.711642247753
2005,C,Utilities,N221210,Natural gas distribution,202.777,127379.482,628.175197384319
2006,C,Utilities,N221210,Natural gas distribution,202.326,121743.303,601.718528513389
2007,C,Utilities,N221210,Natural gas distribution,214.628,128540.217,598.897706729784
2008,C,Utilities,N221210,Natural gas distribution,215.411,153977.265,714.806880799959
2009,C,Utilities,N221210,Natural gas distribution,219.977,104837.219,476.582638184901
2010,C,Utilities,N221210,Natural gas distribution,214.214,109081.104,509.215569477252
2011,C,Utilities,N221210,Natural gas distribution,207.305,105636.015,509.568100142302
2012,C,Utilities,N221210,Natural gas distribution,202.996,89559.475,441.188373169915
2013,C,Utilities,N221210,Natural gas distribution,208.813,104738.044,501.587755551618
2014,C,Utilities,N221210,Natural gas distribution,215.76,122317.417,566.914242677049
2015,C,Utilities,N221210,Natural gas distribution,220.906,97018.146,439.182937539044
2016,C,Utilities,N221210,Natural gas distribution,217.794,89148.798,409.326234882504
2017,C,Utilities,N221210,Natural gas distribution,213.947,100576.572,470.100408044983
2018,C,Utilities,N221210,Natural gas distribution,207.976,112285.559,539.896714043928
2019,C,Utilities,N221210,Natural gas distribution,216.345,106466.494,492.114419099124
2001,C,Utilities,N22121_,Natural gas distribution,226.903,103520.998,456.234593636929
2002,C,Utilities,N22121_,Natural gas distribution,224.051,66500.952,296.811672342458
2003,C,Utilities,N22121_,Natural gas distribution,222.368,89516.483,402.560094078285
2004,C,Utilities,N22121_,Natural gas distribution,214.383,101126.957,471.711642247753
2005,C,Utilities,N22121_,Natural gas distribution,202.777,127379.482,628.175197384319
2006,C,Utilities,N22121_,Natural gas distribution,202.326,121743.303,601.718528513389
2007,C,Utilities,N22121_,Natural gas distribution,214.628,128540.217,598.897706729784
2008,C,Utilities,N22121_,Natural gas distribution,215.411,153977.265,714.806880799959
2009,C,Utilities,N22121_,Natural gas distribution,219.977,104837.219,476.582638184901
2010,C,Utilities,N22121_,Natural gas distribution,214.214,109081.104,509.215569477252
2011,C,Utilities,N22121_,Natural gas distribution,207.305,105636.015,509.568100142302
2012,C,Utilities,N22121_,Natural gas distribution,202.996,89559.475,441.188373169915
2013,C,Utilities,N22121_,Natural gas distribution,208.813,104738.044,501.587755551618
2014,C,Utilities,N22121_,Natural gas distribution,215.76,122317.417,566.914242677049
2015,C,Utilities,N22121_,Natural gas distribution,220.906,97018.146,439.182937539044
2016,C,Utilities,N22121_,Natural gas distribution,217.794,89148.798,409.326234882504
2017,C,Utilities,N22121_,Natural gas distribution,213.947,100576.572,470.100408044983
2018,C,Utilities,N22121_,Natural gas distribution,207.976,112285.559,539.896714043928
2019,C,Utilities,N22121_,Natural gas distribution,216.345,106466.494,492.114419099124
2001,C,Utilities,N2212__,Natural gas distribution,226.903,103520.998,456.234593636929
2002,C,Utilities,N2212__,Natural gas distribution,224.051,66500.952,296.811672342458
2003,C,Utilities,N2212__,Natural gas distribution,222.368,89516.483,402.560094078285
2004,C,Utilities,N2212__,Natural gas distribution,214.383,101126.957,471.711642247753
2005,C,Utilities,N2212__,Natural gas distribution,202.777,127379.482,628.175197384319
2006,C,Utilities,N2212__,Natural gas distribution,202.326,121743.303,601.718528513389
2007,C,Utilities,N2212__,Natural gas distribution,214.628,128540.217,598.897706729784
2008,C,Utilities,N2212__,Natural gas distribution,215.411,153977.265,714.806880799959
2009,C,Utilities,N2212__,Natural gas distribution,219.977,104837.219,476.582638184901
2010,C,Utilities,N2212__,Natural gas distribution,214.214,109081.104,509.215569477252
