Rank,Probability,Label,Occupation,SOC Code
1,0.0028,,Recreational Therapists,291125
2,0.003,,"First-Line Supervisors of Mechanics, Installers, and Repairers",491011
3,0.003,,Emergency Management Directors,119161
3,0.003,,Emergency Management Directors,131061
4,0.0031,,Mental Health and Substance Abuse Social Workers,211023
5,0.0033,,Audiologists,291181
5,0.0033,,Audiologists,291121
6,0.0035,,Occupational Therapists,291122
7,0.0035,,Orthotists and Prosthetists,292091
8,0.0035,,Healthcare Social Workers,211022
9,0.0036,,Oral and Maxillofacial Surgeons,291022
10,0.0036,,First-Line Supervisors of Fire Fighting and Prevention Workers,331021
11,0.0039,,Dietitians and Nutritionists,291031
12,0.0039,,Lodging Managers,119081
13,0.004,,Choreographers,272032
14,0.0041,,Sales Engineers,419031
15,0.0042,0,Physicians and Surgeons,291060
16,0.0042,,Instructional Coordinators,259031
17,0.0043,,"Psychologists, All Other",193039
18,0.0044,,First-Line Supervisors of Police and Detectives,331012
19,0.0044,0,"Dentists, General",291021
20,0.0044,,"Elementary School Teachers, Except Special Education",252021
21,0.0045,,"Medical Scientists, Except Epidemiologists",191042
22,0.0046,,"Education Administrators, Elementary and Secondary School",119032
23,0.0046,,Podiatrists,291081
24,0.0047,,"Clinical, Counseling, and School Psychologists",193031
24,0.0047,,"Clinical, Counseling, and School Psychologists",193033
24,0.0047,,"Clinical, Counseling, and School Psychologists",193031
24,0.0047,,"Clinical, Counseling, and School Psychologists",193034
25,0.0048,,Mental Health Counselors,211014
26,0.0049,,Fabric and Apparel Patternmakers,516092
27,0.0055,,Set and Exhibit Designers,271027
28,0.0055,,Human Resources Managers,113121
28,0.0055,,Human Resources Managers,113049
29,0.0061,,Recreation Workers,399032
30,0.0063,,Training and Development Managers,113131
30,0.0063,,Training and Development Managers,113042
31,0.0064,,Speech-Language Pathologists,291127
32,0.0065,,Computer Systems Analysts,151121
32,0.0065,,Computer Systems Analysts,151051
32,0.0065,,Computer Systems Analysts,151211
33,0.0067,0,Social and Community Service Managers,119151
34,0.0068,,Curators,254012
35,0.0071,,Athletic Trainers,299091
36,0.0073,,Medical and Health Services Managers,119111
37,0.0074,0,"Preschool Teachers, Except Special Education",252011
38,0.0075,,Farm and Home Management Advisors,259021
39,0.0077,,Anthropologists and Archeologists,193091
40,0.0077,,"Special Education Teachers, Secondary School",252054
40,0.0077,,"Special Education Teachers, Secondary School",252043
40,0.0077,,"Special Education Teachers, Secondary School",252058
41,0.0078,,"Secondary School Teachers, Except Special and Career/Technical Education",252031
42,0.0081,0,Clergy,212011
43,0.0081,,Foresters,191032
44,0.0085,,"Educational, Guidance, School, and Vocational Counselors",211012
45,0.0088,,"Career/Technical Education Teachers, Secondary School",252032
46,0.009,0,Registered Nurses,291111
47,0.0094,,Rehabilitation Counselors,211015
48,0.0095,,"Teachers and Instructors, All Other",253999
49,0.0095,,Forensic Science Technicians,194092
50,0.01,,"Makeup Artists, Theatrical and Performance",395091
51,0.01,,Marine Engineers and Naval Architects,172121
52,0.01,,"Education Administrators, Postsecondary",119033
53,0.011,,Mechanical Engineers,172141
54,0.012,,Pharmacists,291051
55,0.012,,Logisticians,131081
56,0.012,,Microbiologists,191022
57,0.012,,Industrial-Organizational Psychologists,193032
58,0.013,,Coaches and Scouts,272022
59,0.013,,Sales Managers,112022
60,0.014,,Hydrologists,192043
61,0.014,,Marketing Managers,112021
62,0.014,0,Marriage and Family Therapists,211013
63,0.014,,"Engineers, All Other",172199
64,0.014,,Training and Development Specialists,131151
64,0.014,,Training and Development Specialists,131073
65,0.014,,First-Line Supervisors of Office and Administrative Support Workers,431011
66,0.015,,"Biological Scientists, All Other",191029
67,0.015,,Public Relations and Fundraising Managers,112031
67,0.015,,Public Relations and Fundraising Managers,112032
67,0.015,,Public Relations and Fundraising Managers,112031
67,0.015,,Public Relations and Fundraising Managers,112033
68,0.015,,Multimedia Artists and Animators,271014
69,0.015,,Computer and Information Research Scientists,151111
69,0.015,,Computer and Information Research Scientists,151011
69,0.015,,Computer and Information Research Scientists,151221
70,0.015,0,Chief Executives,111011
71,0.015,0,"Education Administrators, Preschool and Childcare Center/Program",119031
72,0.015,,Music Directors and Composers,272041
73,0.016,,First-Line Supervisors of Production and Operating Workers,511011
74,0.016,,"Securities, Commodities, and Financial Services Sales Agents",413031
75,0.016,,Conservation Scientists,191031
76,0.016,,"Special Education Teachers, Middle School",252053
76,0.016,,"Special Education Teachers, Middle School",252042
76,0.016,,"Special Education Teachers, Middle School",252057
77,0.017,,Chemical Engineers,172041
78,0.017,,Architectural and Engineering Managers,119041
79,0.017,,Aerospace Engineers,172011
80,0.018,,Natural Sciences Managers,119121
81,0.018,,Environmental Engineers,172081
82,0.018,,"Architects, Except Landscape and Naval",171011
83,0.018,,Physical Therapist Assistants,312021
84,0.019,0,Civil Engineers,172051
85,0.02,,"Health Diagnosing and Treating Practitioners, All Other",291199
85,0.02,,"Health Diagnosing and Treating Practitioners, All Other",291291
85,0.02,,"Health Diagnosing and Treating Practitioners, All Other",291199
85,0.02,,"Health Diagnosing and Treating Practitioners, All Other",291299
86,0.021,,Soil and Plant Scientists,191013
87,0.021,,Materials Scientists,192032
88,0.021,,Materials Engineers,172131
89,0.021,0,Fashion Designers,271022
90,0.021,,Physical Therapists,291123
91,0.021,,Photographers,274021
92,0.022,,Producers and Directors,272012
93,0.022,,Interior Designers,271025
94,0.023,,Orthodontists,291023
95,0.023,,Art Directors,271011
96,0.025,,First-Line Supervisors of Correctional Officers,331011
97,0.025,,"Directors, Religious Activities and Education",212021
98,0.025,,"Electronics Engineers, Except Computer",172072
99,0.027,,Biochemists and Biophysicists,191021
100,0.027,,Chiropractors,291011
101,0.028,,Occupational Therapy Assistants,312011
102,0.028,,"Child, Family, and School Social Workers",211021
103,0.028,,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",172111
104,0.029,,Industrial Engineers,172112
105,0.029,,First-Line Supervisors of Transportation andMaterial-Moving Machine and Vehicle Operators,531031
105,0.029,,First-Line Supervisors of Transportation andMaterial-Moving Machine and Vehicle Operators,531043
105,0.029,,First-Line Supervisors of Transportation andMaterial-Moving Machine and Vehicle Operators,531031
105,0.029,,First-Line Supervisors of Transportation andMaterial-Moving Machine and Vehicle Operators,531044
105,0.029,,First-Line Supervisors of Transportation andMaterial-Moving Machine and Vehicle Operators,531031
105,0.029,,First-Line Supervisors of Transportation andMaterial-Moving Machine and Vehicle Operators,531049
106,0.029,,Veterinary Technologists and Technicians,292056
107,0.03,,Industrial Production Managers,113051
108,0.03,,Industrial Engineering Technicians,173026
109,0.03,,Network and Computer Systems Administrators,151142
109,0.03,,Network and Computer Systems Administrators,151071
109,0.03,,Network and Computer Systems Administrators,151244
109,0.03,,Network and Computer Systems Administrators,151142
109,0.03,,Network and Computer Systems Administrators,151081
109,0.03,,Network and Computer Systems Administrators,151244
110,0.03,,Database Administrators,151141
110,0.03,,Database Administrators,151061
110,0.03,,Database Administrators,151242
110,0.03,,Database Administrators,151141
110,0.03,,Database Administrators,151061
110,0.03,,Database Administrators,151243
111,0.03,,Purchasing Managers,113061
112,0.032,,Postsecondary Teachers,251000
113,0.033,,"Environmental Scientists and Specialists, Including Health",192041
114,0.033,0,Substance Abuse and Behavioral Disorder Counselors,211011
115,0.035,0,Lawyers,231011
116,0.035,,Craft Artists,271012
117,0.035,,Operations Research Analysts,152031
118,0.035,,Computer and Information Systems Managers,113021
119,0.037,,Commercial and Industrial Designers,271021
120,0.037,,Biomedical Engineers,172031
121,0.037,0,"Meeting, Convention, and Event Planners",131121
121,0.037,0,"Meeting, Convention, and Event Planners",131199
121,0.037,0,"Meeting, Convention, and Event Planners",131121
121,0.037,0,"Meeting, Convention, and Event Planners",273031
122,0.038,,Veterinarians,291131
123,0.038,,Writers and Authors,273043
124,0.039,,Advertising and Promotions Managers,112011
125,0.039,,Political Scientists,193094
126,0.04,,Credit Counselors,132071
127,0.04,,"Social Scientists and Related Workers, All Other",193099
128,0.041,,Astronomers,192011
129,0.041,,Ship Engineers,535031
130,0.042,,"Software Developers, Applications",151132
130,0.042,,"Software Developers, Applications",151031
130,0.042,,"Software Developers, Applications",151252
130,0.042,,"Software Developers, Applications",151132
130,0.042,,"Software Developers, Applications",151031
